procedure id,#instructions,#samples,inYara?,4abb20f92c04e1118e356936f36359620e998de7,60a5b825c197a8788b8934c31e7453bd9a87e452,8a189f0c6a69efeaed1916860a0ff74e424563f6
c4daffbf5da78522ce8b9121dbb2e121,9,3,False,0x72c0,0x7cc0,0x7a90
c510ae1296f9ffa22ad64870895f48dd,376,3,False,0x3cf68,0x3bb8c,0x3b8e4
c562a79ec428d387f31f4bb8cd2471df,140,3,True,0x268b0,0x25bd0,0x259a0
c58064a8133d3e91da73160d4859711c,28,3,False,0x13f60,0x133f0,0x131c0
c5c284fd3bcb4908fb18b43e3694ce39,55,3,True,0x3bbd4,0x3a7f8,0x3a550
c6023fe84b4302cf494a60cfeb533d2b,10,3,False,0x35524,0x34828,0x345d8
c62243c98ea6e814667a702778792eda,21,3,False,0x7ff0,0x59d0,0x57a0
c6608a4f1487fcb5335f6a970cbb259e,112,3,True,0xc910,0xbda0,0xbb70
c6672aa1f49abbb493f1eaac34e522b2,254,3,True,0x38ed8,0x37d28,0x37a60
c701209aacaedacb177eca444f111a4a,39,3,False,0x3a8c5,0x393dd,0x39115
c72587a35a2dac9a228baf85014cefb0,32,3,False,0x219a0,0x20cc0,0x20a90
c7d4d1e8bf9cbe71a1780a183948e2eb,58,3,False,0x33b60,0x335a0,0x33370
c7d9e1b16619df60a94e1469265927ff,27,1,False,0x66c0,-,-
c8d01eeab834e9ce91b0cd524a70da7f,46,3,True,0x27ed0,0x271f0,0x26fc0
c8d87278db1cfd6f281d009c638c0ae9,12,3,False,0x11b50,0x10fe0,0x10db0
c906bba2548a6b143ef3313b559a444e,68,3,False,0xa420,0x98f0,0x96c0
c90c2a84e107f84e82858205b3978c78,22,3,False,0x1c020,0x1b340,0x1b110
c9756a7714c7cd4cbdfd31e0e99ea4b6,97,3,False,0x3b32c,0x39f90,0x39cc8
c9818176d9e881c04dd4e6205cd5a62a,95,2,True,-,0x13d0,0x13b0
caa7d513eaa292698fd8f075ae9340df,13,3,False,0x394a8,0x382f8,0x38030
cbdab36efccea28a587a4f171e0726bc,23,3,False,0x3b974,0x3a598,0x3a2f0
cd0e7e44140ab7f11f9eb14962cfe5a7,63,3,True,0xda40,0xced0,0xcca0
cd1da7f6cb9db9294400f82a151e2b47,9,3,False,0xb1a0,0xa630,0xa400
cd220885bb0a42d7b6a9b6c973a69f5a,49,3,True,0xd530,0xc9c0,0xc790
cd82df89fc4488d8bdddbf84546920db,23,3,False,0x21940,0x20c60,0x20a30
ce7525083fa97028d0ce9b272e947557,19,3,True,0x39404,0x38254,0x37f8c
ced7bf09a4b68d3f8124c4c9355c900e,16,3,False,0x30800,0x31c20,0x319f0
cf358a3c986fc06630298328086a0483,9,3,False,0x27d70,0x27090,0x26e60
d0bb40966965d78d7e94c9813aff28c2,61,3,False,0x3f490,0x3e760,0x3e4b8
d1667c85e24e2e9343f42c1626e604ed,43,3,True,0x8630,0x6760,0x6530
d1768f4754add13745e35ac17838f86b,35,1,False,0x230,-,-
d1ac9edb1aa893da4750acf26b18164c,5,3,False,0x346d0,0x3a144,0x39e7c
d1dea5404260f019eedf07d1065f7bb0,59,3,False,0x34170,0x33310,0x330e0
d1e86d00a08ed497939e3f9ebece3d46,13,3,False,0x11be0,0x11070,0x10e40
d20c079119576b80b2950c533165c0b5,53,3,False,0x16fb0,0x162d0,0x160a0
d220a8aab7eb58e1b7b9545dca0bb9b8,35,3,False,0x3f5ec,0x3e8bc,0x3e614
d289bf03487f7332a40d4fe08cc1c2ee,36,3,False,0x387b8,0x3796c,0x376a4
d2a113527746818f8984bf7ba87014df,12,3,False,0xd5d0,0xca60,0xc830
d2ec4e165eb0ad8ab6c529d2e87e539b,40,3,True,0x36b28,0x35e2c,0x35b64
d3614b0429a4038b38c5d42cc8b412ff,27,3,True,0x218e0,0x20c00,0x209d0
d3eaa5bb0e4851cae0f4118abd4d4a93,54,3,False,0x3a1dc,0x38cf4,0x38a2c
d44cd1ccfb6f911e55b9698d16c2dd06,562,3,True,0x3960e,0x3845e,0x38196
d48667e49576cee6c241db37eaca47fe,98,3,True,0x9e40,0x9340,0x9110
d4a6332381d8636385ed5063cc522712,19,1,True,0xa800,-,-
d51fbc1e29f4b4d3aebde1bbdc18dc9b,257,3,True,0x276b0,0x269d0,0x267a0
d5cb384e3f68d29e1924ccb8c06113f2,107,1,False,0x5860,-,-
d65ef360d7709f11fe192b1ab0508fff,122,3,True,0x3aeab,0x39af7,0x3982f
d6756958e8c6377035c7cf6c283a580b,30,3,True,0x1f580,0x1e8a0,0x1e670
d689dbefa087ebf3b40f4731693600b2,93,3,False,0x24190,0x234b0,0x23280
d6a152daa54b07223873111a1f0863b9,17,3,False,0x39448,0x38298,0x37fd0
d720f8adf2765543b6d8b4b14f4080c4,122,3,True,0x19280,0x185a0,0x18370
d7a794b5eb86515f89be043e2ff58f05,48,3,True,0x34b10,0x33e10,0x33be0
d7db8be1cbc6bea1811cc2d9587f1233,21,2,False,0xa260,-,0x9530
d85cf8bd83655711eba3da271c68654d,40,3,True,0x34c20,0x33f40,0x33cf0
d8c1b1b04fdcda60d2184cd1d78683cd,324,1,False,-,0x3f40,-
d90ba9356f099f70c244b4b49e0bca16,117,3,False,0x1cf40,0x1c260,0x1c030
d97a6a09394a3a0b5efebef120256a68,10,3,False,0x1b670,0x1a990,0x1a760
da93aa96d93204a98740b78aeb536b71,78,3,True,0x28c50,0x282c0,0x28090
da995becf2ee9f04c16edb01b15725f8,185,3,True,0x35888,0x34b8c,0x3493c
db1aae0e10a98e751a3caa5691e60106,13,3,False,0x168,0x168,0x168
db6899ab978bf1b481698a6e6a1e3649,32,3,True,0x32b80,0x31ea0,0x31c70
dbc7313c546d53240bb70dcdd6cc59b4,54,1,False,-,0xc30,-
dd6532baeaf9ddd3b215bdc6f66b400f,17,3,False,0x3f368,0x3e638,0x3e390
de5bebd7d770b5f8ba5002b1bdf73440,222,3,True,0x2a320,0x29c10,0x299e0
dfb4ec06091f83a4ccd2fa49a7898677,217,3,True,0x38ba8,0x379f8,0x37730
dfe5d14ba1ee871f2be933d132f756f8,14,3,False,0xb500,0xa990,0xa760
dffb48942080196c8adc120c17cb77ed,21,3,True,0x35458,0x347d8,0x34588
dffd30dda9b46cee7888dcb2709aa327,49,3,False,0x1c340,0x1b660,0x1b430
e07161b27406675d902462e0bf956de9,17,3,False,0xb200,0xa690,0xa460
e0a5a0b1e8cc3267eaed8311a05f8e2e,424,1,False,-,-,0x2240
e0d62a8870e9802bca5d35cfa27e9275,76,3,True,0x11620,0x10ab0,0x10880
e0fce2b50d56fc4eb9d4e9c0c90bc2a6,17,3,False,0x3d4e4,0x3c108,0x3be60
e1679bdb245b4606c4ed4c438fa9ac3c,53,3,False,0x1d190,0x1c4b0,0x1c280
e1be31e96f70e04abbee39244308e243,70,3,True,0x1fbd0,0x1eef0,0x1ecc0
e1d4659de438f6c6668aed9bd22ab945,41,3,True,0x1fb40,0x1ee60,0x1ec30
e1e3d032d127c392e8fa638913283df6,184,1,False,0x2df0,-,-
e2213632402832715f2e6d1572709826,58,3,True,0xd2e0,0xc770,0xc540
e26d0dbb454c5009a1ed235653e29c28,110,3,False,0x22810,0x21b30,0x21900
e29d735d24af809237dcff6f275399df,21,3,False,0x35bfc,0x34f00,0x34cb0
e2bf650604b4c55a4cea5754758ae05a,23,3,False,0x1b8e0,0x1ac00,0x1a9d0
e30b2b33f94384fe6e8d662a0bbaf8ab,21,3,False,0x36f80,0x36134,0x35e6c
e30fde395c4ef311f36b77550c46c91f,99,3,False,0x1ae40,0x1a160,0x19f30
e37176f75668f9ca8b2ed4b0bd39830a,327,1,False,0x4020,-,-
e3b126049d2bd4e8269814975377c0cf,105,3,True,0x16c70,0x15f90,0x15d60
e3bae7ae0148a3bbca4e5abcaf4c12c8,57,3,True,0x297d0,0x28af0,0x288c0
e40ee9a8f6803cdd9d3d2481ef7b5d3a,35,3,False,0x34494,0x337b4,0x33584
e41a553c55dbfd92f8b7bfc357cbfba7,37,3,False,0x8080,0x5a60,0x5830
e52d4fcf3de663761f954d599eefdf4e,10,3,False,0x3bb64,0x3a788,0x3a4e0
e552783e5a57035c24240bf9f3a04b9b,14,2,False,-,0x72b0,0x7080
e59443e26c0071c3935410ec8f11ce7b,4,3,False,0x3ccd6,0x3b8fa,0x3b652
e5f180533692301478262097070137d7,37,3,False,0x1b5a0,0x1a8c0,0x1a690
e62c60577ea33221bf1370fe8cb06ad4,40,3,True,0xa840,0x9cd0,0x9aa0
e662ae183d5d5f34be7603bfd2785289,29,3,True,0x32c40,0x31f60,0x31d30
e67d028bfa96ebbb425ebaa2cab3a92d,44,1,False,0x6d20,-,-
e68fb2c4e6a1755efa6a196a11449588,63,3,True,0x3b077,0x39cc3,0x399fb
e79bcb771d157eba95877a1eaad03f17,105,1,False,-,-,0x2940
e7abbf151c6ed97de07f7dc7cdbdeaaa,33,3,True,0x35acc,0x34dd0,0x34b80
e7ca518a1676a8251ba812c29e70871b,40,3,False,0x24590,0x238b0,0x23680
e7ed6a447d77395e8a542591e555cd50,200,2,True,-,0x30d0,0x2f10
e80ab45b20b18ae7286ebc0f3ea06e51,149,1,False,0x7000,-,-
e8b4d32d1f2132e4709e7fe3ed4a5675,136,3,True,0x1abe0,0x19f00,0x19cd0
e900685f2f6634a25ce378b442d7d323,49,3,True,0x36e58,0x360c8,0x35e00
e9d3f2926240fba53134f866a27bcebf,119,3,False,0x1f9f0,0x1ed10,0x1eae0
e9f6710283571ba19a40a4cb7f556d11,170,3,False,0x385e5,0x37799,0x374d1
ea11d1d6ff12c9a2aca395237a903daf,35,3,False,0x12140,0x115d0,0x113a0
eab1f9ab7b207ef0ce099b5c3173e1d1,48,3,True,0x370cc,0x36280,0x35fb8
eac30f929722599cc36652d74e20fcd6,118,3,True,0x8e30,0x82d0,0x80a0
eb8524ed01fcbed77f4fd73546649478,136,3,False,0x1ca90,0x1bdb0,0x1bb80
eba7a7d849b0f13bd166f5a856eca33a,24,3,True,0x129c0,0x11e50,0x11c20
ebda27b12d36cdf07ba3cc65413fa9d4,14,3,False,0x39584,0x383d4,0x3810c
ebe922a80167f4ea3bc96b29b5e60975,44,3,True,0x3d880,0x3c4a4,0x3c1fc
ed46e5db7db77a453479e36bab07aff9,89,3,True,0x28d30,0x283a0,0x28170
ed60f6883c2f18b0830446d93aede610,13,1,False,0x8b0,-,-
ed93e41901208bb3d7895f6f62a17604,55,3,True,0x3b9dc,0x3a600,0x3a358
edcb1b4adb38305bf97addfee0eb403b,95,2,True,-,0x5060,0x4e30
ee06be0c6533486ffa0a13064756a4bd,73,3,False,0x3a5d0,0x390e8,0x38e20
ee1ab671be6d7e079f606258dd29b41a,13,3,False,0x1b530,0x1a850,0x1a620
ef688bfbcd23e46d5b79b842f67986d3,367,1,False,-,0x570,-
efbdec8e54dd22b49bbf6f933a51462f,27,3,True,0x13f00,0x13390,0x13160
efd6fef3ff1107adda41165afb404fe9,37,3,False,0x1af60,0x1a280,0x1a050
f032dea08a023b3e86f8451823aa371d,28,3,True,0x29960,0x28c80,0x28a50
f148085cc18288e4a950e4d57a41dc67,18,3,False,0x1f930,0x1ec50,0x1ea20
f15183f6465f14a30df3839de18f227a,96,3,False,0x16390,0x15820,0x155f0
