procedure id,#instructions,#samples,inYara?,0752c7e01025cf3689ce283e0389d388f7268048,b0e0853d1aa3c318627f92bec64fe7d42490cb3a,a0d9f148e319fb604d7a70f4b482a2d9d06232fb
1a6e55df6869e40059e5613f72e610a6,124,3,True,0x30b6c,0x3062c,0x30cac
1aab7cadaf4ea32ca058a26b413a5949,122,3,False,0x49fa0,0x4c010,0x4a110
1aef44acddd1398881621c734c5b810b,33,2,False,0x9b68,-,0x9ca8
1b74653a9288dac0b8055fcbf560860d,111,2,False,0x171d8,-,0x17318
1bb08e6701ce739af6f3b7ae39b9a8f8,174,3,False,0x48710,0x4a2a0,0x48880
1bc24aa2e58eaa88a7acc3458cb2fcc9,383,3,False,0xb504,0xa814,0xb644
1bff20275586bf0f7c793de79c010340,465,3,True,0x4ecc0,0x50650,0x4ee30
1c3cb19a45f26ce47758a6241c98070e,47,3,False,0x52cb0,0x53e70,0x52e20
1c663a26bc2d75525cd62b3e64cc55a8,41,3,True,0x2bf20,0x2b9e0,0x2c060
1c6ac9d55d5b921af39a42a819b465b2,60,1,False,-,0x52f4,-
1c9a326f64078768fb4a89d78fd60d0f,14,2,False,0xa930,-,0xaa70
1ccb9b0df4f2a1e28fc425ad76ec70b4,169,3,False,0xc398,0xb5f8,0xc4d8
1d3fdc5f8fe3bf5668c0877af63ead6e,27,3,False,0x43ef0,0x45920,0x43f70
1e1ee7bd8ad95df1d463e7c476c2fbcf,49,2,False,0x86d4,-,0x8814
1e32128e7a82f75ca737df42ec7b33a7,153,3,False,0x16564,0x15854,0x166a4
1eba01e3a24ae020a2bf22c9f35b4446,66,3,False,0x5039c,0x51c5c,0x5050c
1f700ae380ed63637b1ca0f4f57c9b0f,13,3,False,0x167cc,0x15abc,0x1690c
1f90f1da92f41ca9a27e799f64c9545d,70,3,False,0x2b398,0x2ae58,0x2b4d8
1fcbbe2f9a93cbf7c7a6c1ff2f6962fc,38,3,False,0x3f660,0x414e0,0x3f7a0
1fe09fa31a99c3563509e57fb310d3c6,63,1,False,-,0x6280,-
20335263d325a8b7449a1778e784a36b,14,3,False,0x4c540,0x4e380,0x4c6b0
204d7cfe75b161ecb6bd28c6c3063fc0,32,3,True,0x35780,0x35240,0x358c0
205aa94e83fedc586a454add0d88bd8d,51,3,True,0x2ba04,0x2b4c4,0x2bb44
20782532613218f74e20b14cf946f324,34,3,False,0x23164,0x22c24,0x232a4
207b7b587564fb6b802f14f882b493af,135,3,False,0x2d168,0x2cc28,0x2d2a8
20a7b6d3d2f41b8fe61a7be7b6f30849,16,3,False,0x22fcc,0x22a8c,0x2310c
20cab06b74b3782912097cc86a3504bb,33,2,False,0x9d68,-,0x9ea8
2157fa143097ef6e8f0b18a9aba48312,15,3,True,0x23124,0x22be4,0x23264
2195750884e8004c4552ac2f239f2e81,51,3,False,0x8aec,0x731c,0x8c2c
