procedure id,#samples,#instructions,4fcb3f9cdf5a6150cc111ac8f6ae0b273c0f740e,ce5225255035ffdb723e197be715d652ae6ffd2c,cc946b2c2e5cb0b28873c9f7ff4d17ee593fc3c2,4340065699141a144bfa28ba1a8dda24f7794fa7,bb60f647ee1260425a2b1330cd8d781ca95039c8,2d000cf948f0565fb04c2edcc9bf3ba7ddee4c1c,379032547143823e9578dadad0e8a1aa49369a54,d39411845836b0c2821f088807850d49ea495135,ec960d1edcfb04e2bcdb935fa5ea8858621ea24a,788cc1ef63e2b6c83760750cc9fe499ab9929e9d,a4694b898f50ada5c33b4493d748121e1ce4ceff,001a0ae15f5227964bbc283c40d3075c914dabeb,38a191ddb7a351b55e232ddd40d1155fcb319785,6a666edd59469b3ffd1be7eccb67204fc442143d,dc8cec562f9069e8400b069434c6eee244035c2f,6615478457530763b56aa69ce160ecf20a9daa9f,cfed394dcfa28602e9da764253109a93e9fac06b,58780dedae65b58f1ef582a3daf917806f241f30,344b9be95618284af9d309871bf02287f35105ad,fed4ab8b8ec146d7dc661cd648237d1ae638934b,4fcb3f9cdf5a6150cc111ac8f6ae0b273c0f740e,ce5225255035ffdb723e197be715d652ae6ffd2c,cc946b2c2e5cb0b28873c9f7ff4d17ee593fc3c2,4340065699141a144bfa28ba1a8dda24f7794fa7,bb60f647ee1260425a2b1330cd8d781ca95039c8,2d000cf948f0565fb04c2edcc9bf3ba7ddee4c1c,379032547143823e9578dadad0e8a1aa49369a54,d39411845836b0c2821f088807850d49ea495135,ec960d1edcfb04e2bcdb935fa5ea8858621ea24a,788cc1ef63e2b6c83760750cc9fe499ab9929e9d,a4694b898f50ada5c33b4493d748121e1ce4ceff,001a0ae15f5227964bbc283c40d3075c914dabeb,38a191ddb7a351b55e232ddd40d1155fcb319785,6a666edd59469b3ffd1be7eccb67204fc442143d,dc8cec562f9069e8400b069434c6eee244035c2f,6615478457530763b56aa69ce160ecf20a9daa9f,cfed394dcfa28602e9da764253109a93e9fac06b,58780dedae65b58f1ef582a3daf917806f241f30,344b9be95618284af9d309871bf02287f35105ad,fed4ab8b8ec146d7dc661cd648237d1ae638934b
4209b6da950d706299e186550cff8447,20,16,0x2c6670,0x1c5c,0x1c5c,0x85dc,0x59b4,0x8470,0x8568,0x7638,0x7638,0xa63c,0x97a4,0x8d94,0x9190,0x95cc,0x9190,0x615c,0x615c,0x4e24,0xd0a0,0x4e24,-,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop,_pthread_cleanup_pop
d6a152daa54b07223873111a1f0863b9,20,17,0x2ce930,0xdff0,0xdff0,0xc60c,0x9f38,0xbf84,0xc9d4,0xbaa4,0xbaa4,0xeaf4,0xdc68,0xc5d0,0xbbf0,0xbfec,0xbbf0,0xa3f4,0xa3f4,0x8ea8,0x11334,0x8ea8,-,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt,setsockopt
782c5fe4f112f2572f76e9358fc45dec,20,82,0x2d0d20,0x9438,0x9438,0xded4,0xba88,0xd84c,0xe1ec,0xd2bc,0xd2bc,0x10718,0xf554,0xde98,0xd4b8,0xd8b4,0xd4b8,0xbf44,0xbf44,0xa9f8,0x12c20,0xa9f8,-,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf,sysconf
334075fae1ff8c093ca03ab56847b86c,20,22,0x2c2f0e,0x1efa,0x1efa,0x8d72,0x614a,0x8c06,0x8cfe,0x7dce,0x7dce,0xadd2,0x9f3a,0x952a,0x9926,0x9d62,0x9926,0x68f2,0x68f2,0x55ba,0xd836,0x55ba,-,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func,join_extricate_func
b1dc0b79b8b4c727a5ecc706c6690301,20,37,0x2c6a94,0x51a0,0x51a0,0x9bd8,0x6fb0,0x9a6c,0x9b64,0x8c34,0x8c34,0xbc38,0xada0,0xa390,0xa78c,0xabc8,0xa78c,0x7758,0x7758,0x6420,0xe69c,0x6420,-,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone,clone
9adef7c7c8b9eba14fcdf0eae29c6a65,20,46,0x2cb254,0x6d58,0x6d58,0xb574,0x8a68,0xb240,0xb564,0xa634,0xa634,0xd644,0xc8d4,0xb8ac,0x114c8,0x118c4,0x114c8,0x8f58,0x8f58,0x7c20,0xff78,0x7c20,-,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init,_ppfs_init
2179a7016ac3fb9a48033cd3aa441263,20,21,0x2c4609,0x4c03,0x4c03,0x896f,0x5d47,0x8803,0x88fb,0x79cb,0x79cb,0xa9cf,0x9b37,0x9127,0x9523,0x995f,0x9523,0x64ef,0x64ef,0x51b7,0xd433,0x51b7,-,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func,cond_extricate_func
918a93d99673c1f4c1c7688537e7fc01,20,29,0x2c5164,0x3a70,0x3a70,0x6ed0,0x42a8,0x6d64,0x6e5c,0x5f2c,0x5f2c,0x8f30,0x8098,0x7688,0x7a84,0x7ec0,0x7a84,0x4a50,0x4a50,0x3718,0xb994,0x3718,-,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire,__pthread_acquire
d932204adce06992f340dfb5432efc76,20,15,0x2d5ae9,0xdadd,0xdadd,0x11619,0xf021,0x111c5,0x11745,0x10815,0x10815,0x13c51,0x1299d,0x11255,0x10141,0x1053d,0x10141,0xf475,0xf475,0xdf29,0x1600d,0xdf29,-,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline,xdrmem_inline
c3506cf315ccdb84476056ee9e178b9d,20,22,0x2cb2c4,0x6dc8,0x6dc8,0xb5e4,0x8ad8,0xb2b0,0xb5d4,0xa6a4,0xa6a4,0xd6b4,0xc944,0xb91c,0x11538,0x11934,0x11538,0x8fc8,0x8fc8,0x7c90,0xffe8,0x7c90,-,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs
